"","adj.P.Val","P.Value","t","B","logFC","Platform.ORF","Gene.title","Chromosome.annotation","Entrez.ID","Standard.Error","Probablity","GO.Function","GO.Function.ID","GO.Component","GO.Component.ID","GO.Process","GO.Process.ID","Entrez.id","GO.Component.ID","GO.Component","GO.Process.ID","GO.Process","GO.Function.ID","GO.Function","Gene.symbol"
"A_12_P104457",0.0617702111325642,0.000577707038854676,10.502530251121,0.52672944692286,3.95703870347131,"C39E9.12","hypothetical protein","chrIV:13095275-13095334",178258,0.542951158801124,0.628719984896504,NA,NA,NA,NA,NA,NA,178258,"","","","","","","C39E9.12"
"A_12_P158405",0.0617702111325642,0.000579718440692855,10.4927407355504,0.524086116371359,3.94726283425157,"Y46B2A.2","hypothetical protein","chrII:2008147-2008206",189941,0.542115108285032,0.628102739507082,NA,NA,NA,NA,NA,NA,189941,"","","","","","","Y46B2A.2"
"A_12_P145147",0.0617702111325642,0.000585520905868876,10.4647369443466,0.516501540664327,3.92849129047359,"baf-1","Barrier to Autointegration Factor","chrIII:9467773-9467832",176330,0.540980842929285,0.626329346296806,NA,NA,NA,NA,NA,NA,176330,"GO:0000779///GO:0000793///GO:0005634///GO:0005635///GO:0005654///GO:0005737","condensed chromosome, centromeric region///condensed chromosome///nucleus///nuclear envelope///nucleoplasm///cytoplasm","GO:0006281///GO:0006974///GO:0007059///GO:0009792///GO:0010165///GO:0030261///GO:0051276","DNA repair///cellular response to DNA damage stimulus///chromosome segregation///embryo development ending in birth or egg hatching///response to X-ray///chromosome condensation///chromosome organization","GO:0003677///GO:0003690///GO:0005515///GO:0042802","DNA binding///double-stranded DNA binding///protein binding///identical protein binding","baf-1"
"A_12_P111532",0.0617702111325642,0.000589723672654703,10.4446699070516,0.511045437849785,3.91241610395378,"C28A5.1","hypothetical protein","chrIII:4429808-4429700",175580,0.539802294380521,0.625051517510148,NA,NA,NA,NA,NA,NA,175580,"","","","","","","C28A5.1"
"A_12_P102324",0.0617702111325642,0.000594751752935755,10.4208964306923,0.504558644424039,3.88852430913476,"puf-3","PUF (Pumilio/FBF) domain-containing","chrIV:13510369-13510310",178320,0.537729850927927,0.623530029993862,NA,NA,NA,NA,NA,NA,178320,"GO:0005634///GO:0005737","nucleus///cytoplasm","GO:0010608","posttranscriptional regulation of gene expression","GO:0003723///GO:0003729///GO:0003730///GO:0005515","RNA binding///mRNA binding///mRNA 3'-UTR binding///protein binding","puf-3"
"A_12_P140735",0.0617702111325642,0.000607607658021843,10.3612401468574,0.488170665233184,3.98479616885781,"C54C8.12","hypothetical protein","chrI:12457117-12457176",3565544,0.554215641926543,0.619675393235345,NA,NA,NA,NA,NA,NA,3565544,"","","","","","","C54C8.12"
"A_12_P106702",0.0617702111325642,0.00060912811469397,10.3542893373165,0.486250914122711,4.01993001006052,"B0304.2","hypothetical protein","chrII:4524235-4524291",173789,0.559477470339522,0.619222846684382,NA,NA,NA,NA,NA,NA,173789,"","","","","","","B0304.2"
"A_12_P150816",0.0617702111325642,0.000609610174436386,10.3520901262697,0.485643061335914,3.98605683587916,"mom-2","More Of MS","chrV:8357803-8357862",179217,0.554880994630427,0.619079513177224,NA,NA,NA,NA,NA,NA,179217,"GO:0005576///GO:0005615","extracellular region///extracellular space","GO:0000132///GO:0001714///GO:0001764///GO:0007275///GO:0016055///GO:0030010///GO:0030182///GO:0045165///GO:0045167///GO:0048557///GO:0048598///GO:0060070///GO:0070986///GO:0097402///GO:0097475///GO:1904936///GO:1905485","establishment of mitotic spindle orientation///endodermal cell fate specification///neuron migration///multicellular organism development///Wnt signaling pathway///establishment of cell polarity///neuron differentiation///cell fate commitment///asymmetric protein localization involved in cell fate determination///embryonic digestive tract morphogenesis///embryonic morphogenesis///canonical Wnt signaling pathway///left/right axis specification///neuroblast migration///motor neuron migration///interneuron migration///positive regulation of motor neuron migration","GO:0005102///GO:0005109///GO:0005125///GO:0030971","signaling receptor binding///frizzled binding///cytokine activity///receptor tyrosine kinase binding","mom-2"
"A_12_P157226",0.0617702111325642,0.000609939411756097,10.350589360548,0.485228131541271,3.86795137658349,"C26F1.3","hypothetical protein","chrV:7778716-7778775",179155,0.538518136490593,0.618981659570689,NA,NA,NA,NA,NA,NA,179155,"","","","","","","C26F1.3"
"A_12_P113917",0.0617702111325642,0.000611694488997628,10.3426062690896,0.483019279256782,4.02892729183548,"K12D9.1","hypothetical protein","chrV:3015970-3016029",187323,0.561363078841061,0.618460579681163,NA,NA,NA,NA,NA,NA,187323,"","","","","","","K12D9.1"
"A_12_P112743",0.0617702111325642,0.000613086848522077,10.3362934158615,0.481270542081968,4.35189060739,"T25D3.3","hypothetical protein","chrII:154814-154873",188894,0.606732904487574,0.618047849862539,NA,NA,NA,NA,NA,NA,188894,"GO:0005737","cytoplasm","GO:0019346///GO:0070814","transsulfuration///hydrogen sulfide biosynthetic process","GO:0030170","pyridoxal phosphate binding","T25D3.3"
"A_12_P161626",0.0617702111325642,0.000615155487273075,10.3269474646174,0.478678310433421,4.1052259929079,"K10C2.7","hypothetical protein","chrX:6443239-6443136",180916,0.572861333739965,0.617435728491882,NA,NA,NA,NA,NA,NA,180916,"","","","","","","K10C2.7"
