"adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","Platform_ORF","GO.Function","GO.Function.ID","GO.Process","GO.Process.ID","GO.Component","GO.Component.ID","Chromosome.annotation","ID","Entrez.ID","Standard.Error","Probablity"
0.262602740462022,0.00028297709101511,8.59979106230681,0.249197865524514,4.47958671543588,"ulaA","PTS system ascorbate-specific transporter subunit IIC","c5281","identical protein binding///protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity///protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity","GO:0042802///GO:0090585///GO:0090585","phosphoenolpyruvate-dependent sugar phosphotransferase system///L-ascorbic acid transmembrane transport///L-ascorbic acid transmembrane transport","GO:0009401///GO:0015882///GO:0015882","plasma membrane///integral component of plasma membrane///membrane","GO:0005886///GO:0005887///GO:0016020","NC_004431.1 (5028048..5029445)","1764830_at","1037460",0.674673384464423,0.5619790584158
0.262907069241946,0.00030906003437532,-8.44692643353508,0.203703159180463,-4.82691951316203,"Z2087","hypothetical protein","Z2087","gamma-glutamyl-peptidase activity///glutathione hydrolase activity","GO:0034722///GO:0036374","amino acid salvage///self proteolysis","GO:0043102///GO:0097264","outer membrane-bounded periplasmic space///periplasmic space","GO:0030288///GO:0042597","NC_002655.2 (1881371..1881436, complement)","1764524_s_at","960556",0.740141702955688,0.550750420414087
0.265792201655168,0.00033848928502323,8.29174902218082,0.155887768622732,3.15557257938039,"codA","cytosine deaminase","c0456","cytosine deaminase activity///cytosine deaminase activity///ferrous iron binding///zinc ion binding///isoguanine deaminase activity///isoguanine deaminase activity///identical protein binding///identical protein binding","GO:0004131///GO:0004131///GO:0008198///GO:0008270///GO:0035888///GO:0035888///GO:0042802///GO:0042802","cytosine catabolic process///cytosine catabolic process","GO:0006209///GO:0006209","cytosol///cytosol","GO:0005829///GO:0005829","NC_004431.1 (445523..446821)","1760187_at","1040512",0.492918995726201,0.538893212053287
0.268165812656872,0.00036778226657486,8.15234178143418,0.111472476026318,3.3989795398813,"kdpB","potassium-transporting ATPase subunit B","c0782","protein binding///potassium transmembrane transporter activity, phosphorylative mechanism///potassium transmembrane transporter activity, phosphorylative mechanism///potassium transmembrane transporter activity, phosphorylative mechanism","GO:0005515///GO:0008556///GO:0008556///GO:0008556","potassium ion transport///potassium ion transmembrane transport///potassium ion transmembrane transport///cation transmembrane transport","GO:0006813///GO:0071805///GO:0071805///GO:0098655","plasma membrane///integral component of plasma membrane///integral component of plasma membrane///integral component of membrane///potassium ion-transporting ATPase complex","GO:0005886///GO:0005887///GO:0005887///GO:0016021///GO:0031004","NC_004431.1 (765723..767771, complement)","1766763_at","1035814",0.540019821706764,0.527839297121
0.292650128611843,0.00043003055732539,7.89526273160295,0.025762413000737,3.11589121926542,"Z2041///ECs1763","hypothetical protein///hypothetical protein","Z2041",NA,NA,NA,NA,NA,NA,"NC_002655.2 (1854534..1854941, complement)///NC_002695.1 (1762595..1763002, complement)","1767097_s_at","960514",0.511162788145902,0.506440247053761
0.298800802559473,0.00046833981592393,7.7579535661143,-0.0221361210047135,4.73394457184145,"ECs2227","hypothetical protein","ECs2227","L-xylulokinase activity","GO:0008744","L-lyxose metabolic process","GO:0019324","cellular_component","GO:0005575","NC_002695.1 (2210140..2210487, complement)","1761625_at","917431",0.790350117838245,0.494466195714273
0.319471451981401,0.00055333696344896,7.49554734715782,-0.11802660284302,3.60751807485107,"Z2369///ECs2184///ECs2739","endopeptidase Rz of prophage CP-933R///endopeptidase///endopeptidase","ECs2183",NA,NA,NA,NA,NA,NA,"NC_002655.2 (2139602..2140069, complement)///NC_002695.1 (2183542..2184000, complement)///NC_002695.1 (2691115..2691582, complement)","1760383_s_at","961109",0.623374012934379,0.470527554630717
0.370533812674947,0.00070591529757187,7.12599097695421,-0.263458816527606,2.12649145179184,"Z2078","transposase within CP-933O","Z2078",NA,NA,NA,NA,NA,NA,"NC_002655.2 (1874668..1875090)","1763912_at","960547",0.386511039560028,0.434513645374282
0.370533812674947,0.00072627276876891,7.08386922366778,-0.28085375634219,4.36615830335873,"c1035","hypothetical protein","c1035",NA,NA,NA,NA,NA,NA,"NC_004431.1 (999895..1000023, complement)","1760479_at","1038651",0.79831165982823,0.430244478758964
0.370533812674947,0.0007622658763885,7.01268564641574,-0.310647697827415,4.11220835532068,"srlR","DNA-binding transcriptional repressor SrlR","c3261","protein binding","GO:0005515","negative regulation of transcription, DNA-templated","GO:0045892","cellular_component","GO:0005575","NC_004431.1 (3111517..3112290)","1766445_at","1039052",0.759511351869429,0.422956651053413
0.38693843530127,0.00083391904159756,-6.88205571328788,-0.366650382398194,-3.39703797868022,"renP///ECs2273","exclusion protein ren of cryptic prophage CP-933P///hypothetical protein","Z6066",NA,NA,NA,NA,NA,NA,"NC_002655.2 (2320048..2320443, complement)///NC_002695.1 (2244763..2245158, complement)","1767161_s_at","961495",0.639330977512939,0.409350654547639
0.39378752663794,0.00088725637859253,-6.7930947187638,-0.405798387059102,-4.135094036775,"Z1019///ECs0876","hypothetical protein///hypothetical protein","Z1019","nucleotidyltransferase activity///phosphopantetheine binding///phosphopantetheine binding///2,3-dihydroxybenzoate-serine ligase activity///2,3-dihydroxybenzoate-serine ligase activity","GO:0016779///GO:0031177///GO:0031177///GO:0047527///GO:0047527","enterobactin biosynthetic process///enterobactin biosynthetic process///amino acid activation for nonribosomal peptide biosynthetic process///amino acid activation for nonribosomal peptide biosynthetic process///secondary metabolite biosynthetic process","GO:0009239///GO:0009239///GO:0043041///GO:0043041///GO:0044550","cytoplasm///cytosol///cytosol///plasma membrane///enterobactin synthetase complex///enterobactin synthetase complex","GO:0005737///GO:0005829///GO:0005829///GO:0005886///GO:0009366///GO:0009366","NC_002655.2 (956867..958879)///NC_002695.1 (955214..957226)","1763402_s_at","958026",0.788426566796828,0.399920015718223
0.417557464628387,0.00098171817702598,-6.64996423263274,-0.470556383154464,-4.24829851315631,"kpsM","KpsM protein","c3698",NA,NA,NA,NA,NA,NA,"NC_004431.1 (3528516..3529292, complement)","1759111_at","1039739",0.827445209072874,0.384484563634876
0.439520649515036,0.00111689723428392,6.47104640108175,-0.554693531004078,2.1871619356713,"Z4907///ECs4376","hypothetical protein///hypothetical protein","Z4907",NA,NA,NA,NA,NA,NA,"NC_002655.2 (4452831..4453946)///NC_002695.1 (4385605..4386720)","1761296_s_at","961188",0.43777398997406,0.364776161048087
0.439520649515036,0.00114190659106109,6.44073136407878,-0.569311215885024,3.99221822510655,"Z3496///ECs3123","hypothetical protein///hypothetical protein","Z3496","protein binding","GO:0005515","regulation of biological process","GO:0050789","cellular_component","GO:0005575","NC_002655.2 (3149282..3150352)///NC_002695.1 (3078013..3079083)","1760873_s_at","957222",0.802828196238191,0.361395773376755
0.439520649515036,0.00116252522892888,-6.41631780488683,-0.581161043147158,-3.22881986124602,"Z4856///ECs4331","hypothetical protein///surfactin synthetase","Z4856","molecular_function","GO:0003674","response to radiation","GO:0009314","cytosol","GO:0005829","NC_002655.2 (4403940..4405301)///NC_002695.1 (4336719..4338080)","1759524_s_at","961248",0.651780673859449,0.358665481431342
0.443661959685113,0.00121694111198895,-6.35424853642371,-0.61160388092399,-2.59778283926237,"Z6036///Z1910///Z1812///Z1371///Z3320///ECs2242///ECs1981///ECs1550///ECs1801","tail assembly protein of cryptic prophage CP-933P///hypothetical protein///tail assembly chaperone encoded by prophage CP-933N///tail assembly chaperone encoded by cryptic prophage CP-933M///hypothetical protein///tail assembly chaperone///tail assembly chaperon///tail assembly chaperone///tail assembly chaperone","Z1910",NA,NA,NA,NA,NA,NA,"NC_002655.2 (2298839..2299261, complement)///NC_002655.2 (1732327..1732569)///NC_002655.2 (1657480..1657902)///NC_002655.2 (1283473..1283847)///NC_002655.2 (2979471..2979845, complement)///NC_002695.1 (2223556..2223930, complement)///NC_002695.1 (1957171..1957545)///NC_002695.1 (1571389..1571763)///NC_002695.1 (1789864..1790238)","1767976_s_at","961451",0.529519765358492,0.351693417868088
0.473897928428914,0.00146325633959523,6.10900825336169,-0.736448208105055,1.9578324608041,"c4986","sorbitol-6-phosphate 2-dehydrogenase","c4986",NA,NA,NA,NA,NA,NA,"NC_004431.1 (4763989..4764795, complement)","1768100_at","1039729",0.41509580329431,0.323781310607798
0.473897928428914,0.00147621579462416,-6.09746815365403,-0.74250729693888,-2.09804713773234,"c3390","hypothetical protein","c3390",NA,NA,NA,NA,NA,NA,"NC_004431.1 (3228841..3229443, complement)","1760100_at","1039253",0.445665720345564,0.322456110448632
0.473897928428914,0.00148557344335083,6.08920879542303,-0.746854251348757,4.72239088564081,"c2963","hypothetical protein","c2963",NA,NA,NA,NA,NA,NA,"NC_004431.1 (2827036..2827179, complement)","1759250_at","1038601",1.004487636348,0.321507129710022
0.557503809667402,0.00181452371234307,5.83226570638342,-0.886525223674697,3.96147701365464,"c0357","hypothetical protein","c0357","protein tyrosine kinase activity","GO:0004713","regulation of biological process","GO:0050789","plasma membrane","GO:0005886","NC_004431.1 (334492..334875)","1761384_at","1036356",0.879758291377243,0.291827419427905
0.557503809667402,0.00185688964818688,5.80317003520278,-0.902897162847829,2.65224430590096,"ECs5531///yheA","bacterioferritin-associated ferredoxin///bacterioferritin-associated ferredoxin","Z4696",NA,NA,NA,NA,NA,NA,"NC_002695.1 (4189674..4189868, complement)///NC_002655.2 (4256896..4257090, complement)","1765523_s_at","2693826",0.59195917955623,0.288455493575114
0.569587740829638,0.00200453008273349,5.70752005112564,-0.957541456291897,1.78980594789392,"leuA","2-isopropylmalate synthase","c0091","zinc ion binding///protein methyltransferase activity///methionine synthase activity///methionine synthase activity///cobalamin binding","GO:0008270///GO:0008276///GO:0008705///GO:0008705///GO:0031419","methionine biosynthetic process///tetrahydrofolate interconversion///homocysteine metabolic process","GO:0009086///GO:0035999///GO:0050667","cytoplasm///cytosol///cytosol","GO:0005737///GO:0005829///GO:0005829","NC_004431.1 (85789..87402, complement)","1763628_at","1038600",0.406164564222392,0.277370706206834
0.569587740829638,0.00200873419571581,5.70491783977237,-0.959045899340865,2.64824357390883,"Z0250///ECs0218","macrophage toxin///IcmF-like protein","ECs0218",NA,NA,NA,NA,NA,NA,"NC_002655.2 (245399..248833, complement)///NC_002695.1 (245398..248505, complement)","1766960_s_at","956993",0.601245809537602,0.277069262383044
0.606633447498124,0.0022279463414159,-5.57739546426418,-1.03394951084499,-1.10048959213848,"c5355","hypothetical protein","c5355",NA,NA,NA,NA,NA,NA,"NC_004431.1 (5097887..5098408, complement)","1763433_at","1037353",0.255563030881342,0.262319125895196
0.606633447498124,0.00239047697186456,-5.49194284276719,-1.08545691457802,-2.92101440435664,"marB///ECs2139","hypothetical protein///hypothetical protein","Z2169","molecular_function","GO:0003674","transcription, DNA-templated","GO:0006351","cellular_component","GO:0005575","NC_002655.2 (1943852..1944070, complement)///NC_002695.1 (2144401..2144619)","1766967_s_at","960632",0.688892124020574,0.252474735970747
0.606633447498124,0.00242354826563707,5.47538359960107,-1.09556244503714,2.44197138592103,"c1258","hypothetical protein","c1258",NA,NA,NA,NA,NA,NA,"NC_004431.1 (1210326..1210688)","1767926_at","1034939",0.577656347104197,0.250572281579547
0.606633447498124,0.00250852386908998,5.43401422724801,-1.12098707535183,3.06914543540431,"c1487","hypothetical protein","c1487",NA,NA,NA,NA,NA,NA,"NC_004431.1 (1379766..1381052)","1759144_at","1035214",0.731543619932935,0.245828237114362
0.606633447498124,0.00259930076970622,5.39158524292363,-1.14732961627505,1.88077398416789,"Z0985///ECs0846","hypothetical protein///hypothetical protein","Z0985",NA,NA,NA,NA,NA,NA,"NC_002655.2 (926272..927252)///NC_002695.1 (924621..925601)","1767616_s_at","957982",0.45181813904699,0.2409771775004
0.606633447498124,0.00260393502347033,-5.38946563278566,-1.14865273240556,-2.94997176961674,"Z2977///ECs2632","hypothetical protein///hypothetical protein","Z2977",NA,NA,NA,NA,NA,NA,"NC_002655.2 (2674241..2674606)///NC_002695.1 (2599030..2599395)","1764861_s_at","961889",0.708950123790187,0.240735253010559
0.606633447498124,0.00263725748588202,5.37435274003087,-1.1581063552306,4.95028121531463,"Z1874///ECs1620","antiterminator Q of prophage CP-933X///antitermination protein","Z1874",NA,NA,NA,NA,NA,NA,"NC_002655.2 (1709554..1710243)///NC_002695.1 (1625579..1626268)","1765988_s_at","959830",1.19301865075765,0.239011540540902
0.606633447498124,0.00276072463200842,5.32023273059176,-1.19224611130446,1.63445339113395,"c5197","transposase insD","c5197",NA,NA,NA,NA,NA,NA,"NC_004431.1 (4952728..4953375)","1761947_at","1037557",0.39791053675147,0.232857461255351
0.606633447498124,0.00278995783879266,5.30783042397884,-1.20013302778417,1.02587056418797,"Z2100///ECs2195","hypothetical protein///hypothetical protein","Z2100",NA,NA,NA,NA,NA,NA,"NC_002655.2 (1889668..1890717)///NC_002695.1 (2192002..2193084, complement)","1765104_s_at","960569",0.25033355033653,0.231451552443071
0.606633447498124,0.00287012055785878,-5.27458171739907,-1.22139409634582,-1.78885129555957,"xylB","xylulokinase","c4384","xylulokinase activity","GO:0004856","xylulose catabolic process///D-xylose catabolic process","GO:0005998///GO:0042843","cellular_component","GO:0005575","NC_004431.1 (4165550..4167004, complement)","1769134_at","1037451",0.439268179683628,0.227691208567383
0.606633447498124,0.00289538527004098,5.26432599697734,-1.22798684301228,4.03463918616134,"Z2984///ECs2638","serine acetlyltransferase of prophage CP-933T///hypothetical protein","Z2984",NA,NA,NA,NA,NA,NA,"NC_002655.2 (2680456..2681061, complement)///NC_002695.1 (2605245..2605721, complement)","1760888_s_at","961896",0.992671278736188,0.226533969504974
0.606633447498124,0.00291193563160345,-5.25766392375926,-1.2322782553822,-2.50220009489969,"Z1536///ECs1278","usher protein///outer membrane usher protein","Z1536",NA,NA,NA,NA,NA,NA,"NC_002655.2 (1427727..1430249, complement)///NC_002695.1 (1343955..1346477, complement)","1763767_s_at","959171",0.616414354811511,0.225782926521533
0.623051416384545,0.00305178005674248,-5.20307130886912,-1.26770667143967,-3.71063374436969,"Z1420","hypothetical protein","Z1420",NA,NA,NA,NA,NA,NA,"NC_002655.2 (1328114..1328464)","1768549_at","959065",0.923701909379311,0.219650084866717
0.627136145282941,0.00313322329637833,-5.17259987625379,-1.28768611486442,-3.53588064152116,"c1204","hypothetical protein","c1204","molecular_function","GO:0003674","regulation of biological process","GO:0050789","plasma membrane","GO:0005886","NC_004431.1 (1158359..1158748, complement)","1766142_at","1040337",0.885385165047282,0.216244717385418
0.630501299218137,0.00325445437007722,-5.12890563534789,-1.31659387379672,-3.64106174121855,"Z5894///ECs5256","hypothetical protein///hypothetical protein","Z5894","molecular_function","GO:0003674","cytochrome c-heme linkage via heme-L-cysteine","GO:0018378","plasma membrane","GO:0005886","NC_002655.2 (5390202..5391305, complement)///NC_002695.1 (5360199..5361302, complement)","1768102_s_at","959755",0.919489690502546,0.211385542302064
0.630501299218137,0.00327356669852677,-5.1221897701782,-1.3210641956359,-0.868983554592502,"anmK///anmK///anmK///anmK","anhydro-N-acetylmuramic acid kinase///anhydro-N-acetylmuramic acid kinase///anhydro-N-acetylmuramic acid kinase///anhydro-N-acetylmuramic acid kinase","b1640","kinase activity","GO:0016301","regulation of biological process","GO:0050789","cellular_component","GO:0005575","NC_004431.1 (1879022..1880131, complement)///NC_002655.2 (2393413..2394522, complement)///NC_000913.3 (1718493..1719602, complement)///NC_002695.1 (2318220..2319329, complement)","1760946_s_at","1036131",0.219735093444372,0.210641293543929
0.634635270694562,0.00335720068745164,5.09332776833128,-1.34035864503783,3.84992289644461,"Z5954///ECs5314","hypothetical protein///hypothetical protein","Z5954",NA,NA,NA,NA,NA,NA,"NC_002655.2 (5479229..5479771, complement)///NC_002695.1 (5449236..5449778, complement)","1768735_s_at","959699",0.979025348436943,0.207451085701261
0.636599240507546,0.00342995280445876,-5.06889160946494,-1.35679994852113,-2.87184053213193,"c1274","hypothetical protein","c1274",NA,NA,NA,NA,NA,NA,"NC_004431.1 (1228844..1231366)","1767597_at","1034960",0.733822199319454,0.204760886755598
0.695347642002128,0.00383652358720813,-4.9425633693702,-1.44336092586462,-3.56847057706431,"yfcN","hypothetical protein","c2877",NA,NA,NA,NA,NA,NA,"NC_004431.1 (2730404..2730955)","1765632_at","1038439",0.935133044307624,0.191025429425977
0.695347642002128,0.00388272096337395,4.92919762836473,-1.45267435041216,2.97880646120008,"Z3135///ECs2776","invasin///hypothetical protein","ECs2776",NA,NA,NA,NA,NA,NA,"NC_002655.2 (2789871..2797853)///NC_002695.1 (2717452..2721489)","1762927_s_at","962037",0.782725686124305,0.189590322074891
0.724785895519578,0.00411810167908851,-4.8638432323649,-1.49864778915587,-0.966503165200619,"kil///kilR///kil","FtsZ inhibitor protein///killing protein, Rac prophage; FtsZ inhibitor protein///FtsZ inhibitor protein","b1352",NA,NA,NA,NA,NA,NA,"NC_002655.2 (2159454..2159687)///NC_000913.3 (1418008..1418229, complement)///NC_002695.1 (1927479..1927712, complement)","1766771_s_at","961149",0.257375522702775,0.182627287868534
0.728844072384607,0.00427798703641177,-4.82186962557677,-1.52855692773653,-2.61489253111086,"Z0948///ECs0804","hypothetical protein///hypothetical protein","Z0948","RNA helicase activity///helicase activity///3'-5' RNA helicase activity","GO:0003724///GO:0004386///GO:0034458","mRNA processing///mRNA processing///RNA modification","GO:0006397///GO:0006397///GO:0009451","cellular_component","GO:0005575","NC_002655.2 (894558..895160)///NC_002695.1 (892980..893510)","1764870_s_at","957927",0.702395807327868,0.178204922599971
0.728844072384607,0.0042839581057089,4.82033739894699,-1.52965445424627,3.04097694822759,"Z3240///ECs2880","hypothetical protein///hypothetical protein","Z3240",NA,NA,NA,NA,NA,NA,"NC_002655.2 (2897033..2897794, complement)///NC_002695.1 (2826817..2827578, complement)","1759118_s_at","956785",0.817107543654088,0.178044248879171
0.736689419758177,0.00444757200556002,4.77928860828008,-1.55920801223406,1.34644238527547,"Z1550///ECs1290","hypothetical protein///hypothetical protein","ECs1290",NA,NA,NA,NA,NA,NA,"NC_002655.2 (1445073..1446296)///NC_002695.1 (1361544..1362524)","1760900_s_at","959186",0.364895113046578,0.173760321482038
0.736689419758177,0.00450139351393669,-4.76616589332082,-1.56871730382612,-3.42908546618264,"c0335","hypothetical protein","c0335","beta-glucosidase activity///beta-glucosidase activity///glucosidase activity","GO:0008422///GO:0008422///GO:0015926","glucan catabolic process","GO:0009251","outer membrane-bounded periplasmic space///periplasmic space","GO:0030288///GO:0042597","NC_004431.1 (307212..307499, complement)","1764797_at","1036389",0.931864322702124,0.17239932710416
0.736689419758177,0.0045465745929433,4.7552891901416,-1.57662169477011,2.02200994639786,"Z2968///ECs2619","hypothetical protein///hypothetical protein","Z2968","DNA-binding transcription factor activity","GO:0003700","positive regulation of transcription, DNA-templated","GO:0045893","cellular_component","GO:0005575","NC_002655.2 (2669723..2670373, complement)///NC_002695.1 (2594512..2595162, complement)","1762019_s_at","961880",0.55074413859691,0.171274464670663
0.742932398921406,0.00474503679329406,-4.70894916576824,-1.61052942743208,-1.28244475979827,"c4848","hypothetical protein","c4848",NA,NA,NA,NA,NA,NA,"NC_004431.1 (4610449..4611003)","1760126_at","1040300",0.352742829960066,0.166515122514009
0.742932398921406,0.00482931617149992,4.68994332543032,-1.62454513267617,3.99723265146704,"c1889","hypothetical protein","c1889",NA,NA,NA,NA,NA,NA,"NC_004431.1 (1724601..1725203)","1761878_at","1035747",1.10391430543146,0.164578994313697
0.742932398921406,0.00498069282676206,4.65674965998476,-1.64917632484693,0.740844763139788,"ggt///ggt","gamma-glutamyltranspeptidase///gamma-glutamyltranspeptidase","Z4813",NA,NA,NA,NA,NA,NA,"NC_002655.2 (4369960..4371705, complement)///NC_002695.1 (4302737..4304482, complement)","1768720_s_at","961624",0.206057228125782,0.161220302702277
0.742932398921406,0.00498470313043714,4.65588618779533,-1.64981966185157,2.96609531571795,"Z1771///ECs1507","hypothetical protein///hypothetical protein","Z1771",NA,NA,NA,NA,NA,NA,"NC_002655.2 (1630361..1630684)///NC_002695.1 (1545265..1545588)","1768715_s_at","959484",0.825137409154942,0.161133324281975
0.745037427805286,0.00511347086310654,-4.62857941044795,-1.67023311856157,-2.57243514328501,"c2397","hypothetical protein","c2397",NA,NA,NA,NA,NA,NA,"NC_004431.1 (2201204..2202706)","1766023_at","1037286",0.719847075467514,0.158393100564145
0.745037427805286,0.00523639782441635,4.60324186132529,-1.68929331789857,1.49217836550661,"ycgO///Z1954///ECs1686","potassium/proton antiporter///potassium/proton antiporter///potassium/proton antiporter","Z1954",NA,NA,NA,NA,NA,NA,"NC_004431.1 (1477433..1479169, complement)///NC_002655.2 (1773268..1775004, complement)///NC_002695.1 (1681862..1683598, complement)","1769049_s_at","1035412",0.419856107110516,0.155868798303382
0.745037427805286,0.00525496618357961,4.59947429742124,-1.69213727695323,3.97858059245694,"c0184","hypothetical protein","c0184",NA,NA,NA,NA,NA,NA,"NC_004431.1 (177776..177958, complement)","1764764_at","1040468",1.12037521599061,0.155494974154159
0.752019919490843,0.005416207531925,4.56739024628353,-1.71645927087195,2.15881339871713,"Z5091///ECs4539","hypothetical protein///hypothetical protein","Z5091",NA,NA,NA,NA,NA,NA,"NC_002655.2 (4652789..4653163)///NC_002695.1 (4583806..4584180)","1765896_x_at","960881",0.612196037679794,0.152327794301595
0.752019919490843,0.00545155505900493,-4.56050391906276,-1.72170374358913,-2.94138444767757,"c1524///c1523","hypothetical protein///hypothetical protein","c1523","magnesium ion binding///methylisocitrate lyase activity///methylisocitrate lyase activity","GO:0000287///GO:0046421///GO:0046421","propionate catabolic process, 2-methylcitrate cycle///propionate catabolic process, 2-methylcitrate cycle","GO:0019629///GO:0019629","cellular_component","GO:0005575","NC_004431.1 (1400733..1401473, complement)///NC_004431.1 (1400456..1400824, complement)","1768714_s_at","1035261",0.835376950515018,0.151651840864411
0.758931955179819,0.00557600868323731,4.53666170413028,-1.73992760794164,2.68415046298582,"yidE","hypothetical protein","c4604","molecular_function","GO:0003674","regulation of biological process","GO:0050789","plasma membrane","GO:0005886","NC_004431.1 (4366347..4368008, complement)","1764383_at","1040032",0.76632675989727,0.149322129900892
0.859356855421433,0.00640343077689178,-4.39229394357892,-1.85249091227226,-2.61133000082362,"yhjW","phosphoethanolamine transferase","c4364",NA,NA,NA,NA,NA,NA,"NC_004431.1 (4147821..4149512, complement)","1766812_at","1037384",0.770041074569451,0.135580700556041
0.859356855421433,0.00653972404192308,4.370582140766,-1.86975201806988,2.92267469399521,"menE","O-succinylbenzoic acid--CoA ligase","c2803","protein tyrosine kinase activity///protein tyrosine kinase activity///ATPase activity","GO:0004713///GO:0004713///GO:0016887","colanic acid biosynthetic process///peptidyl-tyrosine phosphorylation///peptidyl-tyrosine autophosphorylation","GO:0009242///GO:0018108///GO:0038083","plasma membrane///plasma membrane///integral component of plasma membrane///membrane","GO:0005886///GO:0005886///GO:0005887///GO:0016020","NC_004431.1 (2660030..2661385, complement)","1759707_at","1038331",0.866133272025624,0.133570418716053
0.859356855421433,0.00660181743207843,-4.36086244707314,-1.87750770655846,-2.74115995094225,"molR_B","hypothetical protein","Z3284",NA,NA,NA,NA,NA,NA,"NC_002655.2 (2943353..2946244)","1761077_at","959384",0.814152047782311,0.132675405871261
0.859356855421433,0.00670279918553857,4.34527778632933,-1.88998005128781,3.33896029213931,"c4581","hypothetical protein","c4581","protein binding///exodeoxyribonuclease V activity","GO:0005515///GO:0008854","double-strand break repair via homologous recombination///DNA recombination///DNA recombination///DNA recombination///response to radiation///clearance of foreign intracellular DNA","GO:0000724///GO:0006310///GO:0006310///GO:0006310///GO:0009314///GO:0044355","exodeoxyribonuclease V complex","GO:0009338","NC_004431.1 (4342378..4342875)","1761488_at","1039672",0.995261578222649,0.131246743994625
0.859356855421433,0.00678493193154757,4.33279987613639,-1.89999880585843,3.35318266283051,"elaC","ribonuclease Z","c2812",NA,NA,NA,NA,NA,NA,"NC_004431.1 (2667990..2668907)","1763597_at","1038340",1.00237935054529,0.13010860951631
0.859356855421433,0.00694232549048949,4.30936609628401,-1.91889310434557,3.11426913880407,"papF///papF_2","PapF protein///PapF protein","c3584","ATPase activity","GO:0016887","regulation of biological process","GO:0050789","plasma membrane","GO:0005886","NC_004431.1 (3430647..3431177, complement)///NC_004431.1 (4941885..4942415, complement)","1768932_s_at","1039519",0.936022484493263,0.127985050411658
